Words	Monetary	Property – Real estate	Property – Slavery	Property – Other	Property – Terminology	Family	Women	Inheritance	Waqf	Gender issues and sexuality	Disputing and litigation	Crime	Punishment	Taxation, prebendal rights, and revenue extraction	Land, not property	Contractual – Transactions, employment, and gifts	Contractual – Debts and loans	Ritual and worship	Religious and doctrinal	Religious, administrative functionaries and their actions	Communal	Non-Muslims	Representations, suretyship, and guardianship	Agriculture and cultivation	Food and beverage	Animals	Intoxicants	Illness, death, and injury	Military groups and matters	Control
abd			X																											x
abdest																		X												x
açılmak																														x
aciz																														x
açmak																														x
acz																														x
adalet																														x
adam																														x
adavet																														x
adem																														x
adet																														x
adil											x																			x
adile											x																			x
adın																														x
afv																														x
afyon																											X			x
ağaç																								x						x
ağırlık						X																								x
ağniya																														x
ağz																														x
ahali																					X									x
aharden																														x
ahire																														x
ahiret																			x											x
ahkam											X																			x
ahz																														x
akar		x																												x
akça	X																													x
akd																x														x
akil																														x
akl																														x
akraba						X																								x
akreb																														x
alabilür																														x
alan																														x
alduk																														x
alem																														x
alempenah																														x
alet																														x
alim																			x											x
alınan																														x
alıver																														x
alıvirüp																														x
allahu																														x
almaz																														x
altun				X																										x
amden																														x
amel																														x
amil																														x
amm																					X									x
amme																														x
ammi																														x
ammia																														x
ana						X	x																							x
arak																									x		X			x
arap																														x
arazi															X															x
ariyet																	X													x
arpa																								X						x
art																														x
arz															x															x
asabe						X																								x
aşağı																														x
asar																														x
ashab																														x
ashap																														x
aşıl																														x
asim																			x											x
asker																													X	x
aslah																														x
asr																														x
atik																														x
atın																														x
avam																														x
avaz												x																		x
avrat							x																							x
avret							x																							x
ayak																														x
ayan																														x
ayat																			x											x
ayb																														x
ayet																			x											x
ayn																														x
ayrı																														x
aza																														x
azad			X																											x
azam																														x
azap																														x
azat			x																											x
azim																														x
azl																				X										x
baba						X																								x
bad																														x
bağ		x																												x
bağçe		x																												x
bağış																x														x
baha																x														x
bahçe		x																												x
baid																														x
bain						X																								x
bais																														x
bak																														x
baki																														x
bakiyye																														x
bal																									X					x
baliğ																														x
baliğe							x																							x
balik																														x
bap																														x
bari																														x
baş																														x
batıl																			x											x
batn																														x
bayi																x														x
bayram																		x												x
bazar																														x
bedel																x														x
behr														x																x
beliğ																														x
benat						x	x																							x
berat																				x										x
berü																														x
bes																														x
besme																		x												x
bey																x														x
beyan																														x
beyn																														x
beyt		x																												x
beytülmal																				x										x
beytülmali																				x										x
beyyine											x																			x
bez				x																										x
bıçak																														x
bidat																			x											x
bikr							x			x																				x
bikusür																														x
bilfiil																														x
bilittifak																														x
bilmal																														x
bilmeyen																														x
bina		x																												x
binai																														x
biraz																														x
bittama																														x
bizzat																														x
boğaz																														x
borç																	x													x
boşa						x																								x
boşadık						x																								x
boyn																														x
bozmak																														x
buğday																								x						x
bulduk																														x
buldurmak																														x
bulmak																														x
bülüğ																														x
bulunduk																														x
bulunur																														x
bulur																														x
buyurul																				x										x
cabi									x																					x
cahil																														x
cami																		x												x
can																														x
çardak		x																												x
cari																														x
cariye			x																											x
çayır															x															x
cebr												x																		x
cedi																														x
cedid																														x
cedt																														x
cehenne																			x											x
cehl																														x
cehr																														x
çeker																														x
çeküp																														x
cema																					x									x
cemaat																					x									x
cemaate																					x									x
cemaatle																					x									x
cemian																														x
cenabet																		x												x
cenap																														x
cennet																			x											x
cerahat																												x		x
cerh																												x		x
çeşme																					x									x
cevaz																														x
çiftlik		x																												x
ciha						x																								x
cihaz						x																								x
çıkdık																														x
çıkıb																														x
çıkmak																														x
cima										x																				x
civar																														x
cizye																						x								x
cuma																		x												x
cüz																														x
cüzi																														x
dahl																														x
dahli																														x
dain																	x													x
darb												x																		x
darı																								x						x
darp												x																		x
darulharb																														x
dava											x																			x
davar				x																						x				x
davet																														x
dedi																														x
def											x																			x
defn																												x		x
defter																														x
değirmen		x																												x
delalet																														x
delil											x																			x
derahim	x																													x
deri																										x				x
ders																														x
derya																														x
deve				x																						x				x
deveran																														x
devr																														x
deyn																	x													x
diküp																														x
dil																														x
din																			x											x
dinleyüb																														x
dirhe																														x
diş																														x
dise																														x
divar		x																												x
diyet													x																	x
dök																														x
dönüb																														x
dua																		x												x
düği						x																								x
düğün						x																								x
dük		x																												x
dükkan		x																												x
dünya																														x
durmak																														x
durs																														x
durur																														x
dururken																														x
düş																														x
düşmez																														x
duvar		x																												x
ebeveyn						x																								x
ebna						x																								x
ecel																												x		x
ecnebi																														x
ecr																x														x
eda																														x
edegel																														x
edemez																														x
edin																														x
edinüb																														x
ediver																														x
edna																														x
efdaldir																														x
efendi																														x
ehadi																														x
ehl																														x
eimm																			x											x
eimme																			x											x
ekl																														x
eksik																														x
elfaz																														x
elim																														x
emanet																														x
emin																														x
emir																														x
emlak		x																												x
emre																														x
emred										x																				x
emsali																														x
emvali				x																										x
enbiya																			x											x
enfa																														x
enva																														x
erbai																														x
erbap																														x
erte																														x
esbab																														x
esbap																														x
eşcar				x																				x						x
eser																														x
esir			x																											x
esna																														x
esrar																											x			x
eşşehir																														x
evkaf									x																					x
evlat						x																								x
evliya																														x
evsaf																														x
evvela																														x
evvelk																														x
evza																														x
eyledüğin																														x
eyleme																														x
eyler																														x
eylesü																														x
eyleyen																														x
eytam						x		x																						x
eyü																														x
ezan																		x												x
facir																			x											x
fahiş																														x
faide																x														x
fark																														x
farz																			x											x
fasi																														x
fasid																														x
fasık												x							x											x
fasl																														x
fatiha																		x												x
fehm																														x
fer																														x
feragat																														x
feraiz																x														x
ferman																				x										x
fesat																														x
feseka												x																		x
fesh																x														x
fetava											x																			x
feth																														x
fetva											x																			x
fevt																												x		x
fidan																								x						x
filhakika																														x
filori	x																													x
firaş																												x		x
fısk												x							x											x
fizamanina																														x
fukara																														x
fuzüli																														x
gabn																x														x
gadr												x																		x
gaib																														x
gaip																														x
galib																														x
galle																x														x
gani																														x
garaz																														x
gargar																														x
gark																														x
gars																								x						x
gasb												x																		x
gaybe																														x
gaybet																														x
gayet																														x
gayrı																														x
gaz																														x
gazi																													x	x
geçdik																														x
gece																														x
geçmez																														x
geldüği																														x
gelt																														x
gemi																														x
getdik																														x
getdüği																														x
gett																														x
getürdük																														x
gidüp																														x
girib																														x
gitme																														x
giymek																														x
giys				x																										x
giyüb																														x
gönder																														x
göre																														x
görm																														x
görmek																														x
göz																														x
gümüş				x																										x
günah																			x											x
günlük																														x
gurema																	x													x
gusl																		x												x
habbe																								x						x
haber																														x
habs													x																	x
hac																		x												x
hacç																		x												x
hacet																														x
hacr																														x
had													x																	x
hadden													x																	x
haddi																														x
hadis																			x											x
hak																														x
hakikat																														x
hakim											x																			x
hakimülvakt											x																			x
halas																														x
halbuki																														x
hale																														x
halel																														x
haliya																														x
halk																					x									x
halt																														x
halve																														x
hama																														x
hamid																														x
hamil										x																				x
hamma		x																												x
hamr																									x		x			x
hamse																														x
han		x																												x
hane						x																								x
hanef																			x											x
hara																			x											x
harab																														x
harac														x																x
haraç														x																x
haraciyye														x																x
harami												x																		x
harb																													x	x
harbi																													x	x
harc																														x
harç																														x
hariç																														x
harir				x																										x
hark																														x
harman																								x						x
has														x																x
hasad																								x						x
hasm											x																			x
hass														x																x
hasta																												x		x
hata																														x
hataen																														x
hatib																				x										x
hatip																				x										x
hatır																														x
hatünu							x			x																				x
havale																														x
havf																														x
havlu		x																												x
hayat																														x
hayr																														x
hayz										x																				x
helak																												x		x
helal																			x											x
heman																														x
hemşire						x	x																							x
herbir																														x
hesab																														x
heva																														x
hibe																x														x
hiçbir																														x
hıfz																														x
hilafe																				x										x
hile																														x
hınzır																			x							x				x
hisar																													x	x
hiss																x														x
hisse																x														x
hitabet																				x										x
hıyanet																														x
hıyar																									x					x
hizmet																														x
hizmetkar																														x
hüccet																														x
hücre																														x
hüdayi																														x
hufye																														x
hük											x																			x
hükm											x																			x
hukükı																														x
huküku																														x
hul						x																								x
hulle						x																								x
hulles						x																								x
hür			x																											x
hürm																														x
hurmet																														x
hürretülasl			x																											x
hurüc																														x
hüsni																														x
husüm											x																			x
husüme											x																			x
husümet											x																			x
husüsı																														x
hutbe																		x												x
huzürun																														x
iade																														x
ibade																		x												x
ibadet																		x												x
ibak			x																											x
ibare																														x
ibaret																														x
ibka																														x
ibra																	x													x
ibraz																														x
ibtida																														x
icare																x														x
icazet																														x
içer																									x					x
içmek																									x					x
icra																														x
ictinab																														x
idde						x																								x
idhal																														x
ifraz																														x
iftira												x																		x
ihdas																														x
ihfa																														x
ihmal																														x
ihrac																														x
ihsan																														x
ihtilaf																														x
ihtimali																														x
ihtimam																														x
ihtiraz																														x
ihtiyar																														x
ihtiyat																														x
ihya															x															x
ihzar																														x
ikamet																														x
ikrah																														x
ikrar											x																			x
iktida																		x												x
iktifa																														x
ilet																														x
iletüb																														x
ilhak																														x
ilm																			x											x
iltizam														x																x
imam																		x		x										x
imame																		x		x										x
imamet																		x		x										x
